feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
Cavin2,17,2.977012983,2.75895201,4428297.5,0.974496126,0,0,96.95945946,14.88405419
Reln,17,2.44226583,2.435935958,4396123.5,0.967415879,0,0,93.58108108,0.729546639
Flt4,17,2.345276522,2.315314327,4390581.5,0.966196301,0,0,93.58108108,3.009379885
Timp3,17,3.498950249,2.88995241,4378680,0.963577243,1.09E-243,3.14E-241,97.97297297,29.87232934
Ece1,17,2.340772325,2.018627667,4276584,0.941109883,4.33E-250,1.32E-247,93.58108108,24.66779573
Aplp2,17,2.728064875,2.039750506,4275963.5,0.940973335,4.30E-175,8.62E-173,94.59459459,46.11776967
Sparcl1,18,3.855211627,3.373844629,2812223,0.993685018,2.04E-188,2.72E-186,100,26.52440996
Myh11,18,3.764848746,3.592704554,2810007,0.992902005,0,0,100,10.19075331
Tagln,18,4.092348614,3.863949351,2801933,0.990049097,8.04E-307,1.81E-304,100,13.33979955
Tpm1,18,3.316930813,2.871285139,2794085.5,0.987276222,1.50E-166,1.66E-164,100,30.86970579
Mustn1,18,2.873270233,2.671072503,2790159.5,0.98588899,2.30E-266,4.45E-264,98.90710383,15.69996767
Cald1,18,3.442317911,2.948283895,2787841.5,0.985069936,9.59E-181,1.19E-178,100,26.79599095
Acta2,18,3.996833892,3.733181129,2787344,0.984894147,1.59E-258,2.87E-256,99.45355191,16.23666343
Myl9,18,3.477193177,3.275335531,2786630.5,0.984642035,6.00E-295,1.27E-292,98.90710383,13.65664403
Mylk,18,2.791485892,2.595494966,2785226.5,0.984145939,1.06E-306,2.37E-304,100,12.93889428
Des,18,2.419917001,2.310803857,2769990,0.978762197,0,0,97.81420765,8.076301326
Rgs5,19,4.015323425,3.730475715,699482.5,0.974627695,2.32E-78,2.88E-75,100,13.25471093
Gm13889,19,2.426539876,2.129896917,686049.5,0.955910753,6.34E-58,2.30E-55,100,17.54903218
Flt1,19,2.543682201,2.29789822,680204,0.947765894,2.59E-88,5.57E-85,100,10.02435585
Myo1b,19,1.387568941,1.25246008,679846.5,0.947267769,2.93E-84,5.57E-81,97.82608696,10.57556723
Plvap,19,2.8392151,2.533287253,678355,0.94518958,6.07E-70,3.50E-67,100,13.07524676
Ly6c1,19,2.389123254,2.052883715,677533,0.944044242,1.11E-52,3.22E-50,100,18.58095116
Pdgfrb,19,1.546080497,1.367299454,676698,0.94288079,1.80E-64,8.28E-62,97.82608696,14.28022048
Fabp4,19,3.114209593,2.781464407,674649,0.940025805,7.08E-67,3.57E-64,97.82608696,13.44058454
Id1,19,1.856221808,1.619153612,673715.5,0.938725108,5.41E-56,1.86E-53,97.82608696,16.66453019
Nrp1,19,1.788172654,1.504674494,672752,0.93738261,7.97E-48,1.95E-45,100,20.33072683
Dcn,2,5.036640968,4.202556292,18349418.5,0.987210697,0,0,99.76833977,39.5318052
Dpt,2,3.33296792,2.975385841,18142666.5,0.976087304,0,0,98.68725869,19.43844492
Gsn,2,4.79802761,3.912533673,18066990,0.972015859,0,0,99.92277992,46.08095868
Lum,2,3.025837949,2.731887985,18066852,0.972008435,0,0,98.68725869,16.90935693
Rnase4,2,2.13642706,1.917699733,17795867,0.957429265,0,0,96.6023166,15.85731206
Serping1,2,2.750409083,2.357736017,17734835.5,0.95414573,0,0,97.60617761,21.26384728
Lrp1,2,2.200900475,1.939154217,17714346,0.953043382,0,0,97.14285714,17.45976451
Col1a2,2,3.365081484,2.820314526,17572919.5,0.945434544,0,0,99.53667954,24.9982582
Mgp,2,3.671506112,3.140451136,17522942.5,0.942745749,0,0,97.83783784,27.57611649
Col1a1,2,3.314080883,2.777312983,17481727,0.940528328,0,0,99.15057915,25.2699784
Lef1,3,1.527347621,1.472504302,14427542,0.890352959,0,0,80.35874439,4.307438244
Trbc2,3,1.852163455,1.6003467,14179468,0.875043808,0,0,86.09865471,13.31452556
Cd3d,3,1.374489284,1.232950588,13850532,0.854744498,0,0,78.74439462,8.814422349
Tmsb10,3,3.538511872,1.113962549,13796011,0.851379897,0,0,97.30941704,90.96538911
Trac,3,1.336962229,1.182771696,13539618,0.835557363,0,0,75.51569507,10.08050643
Fyb,3,1.393354362,1.169905204,13517475,0.834190873,0,0,79.19282511,14.09206633
Rplp1,3,4.404452247,0.679484117,13417208.5,0.828003224,1.11E-292,9.95E-290,98.38565022,98.28665795
Rpl12,3,3.971096036,0.934964302,13404124.5,0.827195784,2.78E-291,2.43E-288,97.75784753,95.08016239
Tpt1,3,4.760649988,0.576101367,13262568,0.818460044,5.07E-276,4.10E-273,99.9103139,99.31879172
Tcf7,3,1.1748498,1.055738745,13199243.5,0.81455216,0,0,69.68609865,8.704328081
Bgn,4,3.12876315,2.643059774,14646069.5,0.966634727,0,0,99.51783992,24.62528232
Tcf21,4,2.197996861,2.021715583,14590615,0.962974752,0,0,97.01060752,12.88070632
Fbln1,4,2.800977528,2.495783436,14501610.5,0.957100491,0,0,98.55351977,15.38566833
Rarres2,4,2.658373653,2.324816467,14450184.5,0.953706396,0,0,97.39633558,18.86934501
Cxcl12,4,2.883690821,2.455338995,14444529.5,0.953333168,0,0,99.42140791,23.08534666
Sfrp1,4,2.236687764,2.092566199,14395520,0.950098561,0,0,95.08196721,9.095886661
Postn,4,2.990807236,2.63290853,14387148,0.949546012,0,0,97.10703954,18.64348778
Adamdec1,4,3.606588903,3.285143834,14382033,0.949208424,0,0,95.85342334,18.739306
Col3a1,4,4.021654539,3.220924282,14341039,0.946502836,0,0,99.80713597,35.53487099
Col1a1,4,3.295953848,2.708857806,14207312.5,0.937676941,0,0,99.61427194,26.5416467
Ccl5,5,3.022774414,2.916184903,9948790.5,0.928081325,0,0,87.88300836,6.664434025
Ifngr1,5,2.60264114,2.010006367,9864155.5,0.920186077,0,0,93.31476323,42.8332217
Vps37b,5,2.99032235,2.051956357,9736034,0.908234155,0,0,97.35376045,48.83456129
Ikzf2,5,2.21713718,2.120134734,9697198.5,0.904611353,0,0,83.56545961,6.945746818
Emb,5,2.647316637,2.201527125,9665930,0.901694444,0,0,91.50417827,23.12793034
H2-Q7,5,2.047337947,1.328777196,9176189,0.856008541,3.17E-260,2.05E-257,91.36490251,48.33891494
Ptpn22,5,1.501820668,1.32848422,9161840,0.854669983,0,0,78.55153203,13.47622237
Tnfaip3,5,2.287139495,1.536244882,9156188,0.854142731,6.65E-266,4.47E-263,92.06128134,44.62826524
Il2rb,5,1.539622546,1.403698779,9130790,0.851773457,0,0,76.46239554,9.089082384
H2-K1,5,3.031152546,1.084595109,9117230.5,0.850508548,7.84E-222,3.72E-219,98.32869081,89.7722706
Trbc2,6,1.902031681,1.609843061,9339529.5,0.873562524,0,0,87.29050279,15.2022502
Emb,6,2.223559638,1.757155803,9262696.5,0.866376035,0,0,90.92178771,23.16501473
Ctla4,6,1.804934424,1.715544243,9182726,0.858896083,0,0,75.27932961,6.817572998
Trac,6,1.430563947,1.24925668,9152259,0.856046386,0,0,81.00558659,11.5657648
